mode,policy,answered,n,mean_l2_error,median_l2_error,rmse,mean_d_error,median_d_error,mean_trace,mean_logdet
available,fixed,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,0.5,0.5,1.0,-1.3862943611198906
available,fixed,1,6,1.3315414262090737,1.5199288608461432,1.5080725851959258,0.4191556970480929,0.41375293688626485,0.8515070654318962,-1.7393757262834442
available,fixed,2,6,1.2647901179790908,1.4710855115534032,1.5229108019691828,0.369199403210577,0.36730549674838764,0.762370044796118,-1.993707054809752
carried,fixed,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,0.5,0.5,1.0,-1.3862943611198906
carried,fixed,1,6,1.3315414262090737,1.5199288608461432,1.5080725851959258,0.4191556970480929,0.41375293688626485,0.8515070654318962,-1.7393757262834442
carried,fixed,2,6,1.2647901179790908,1.4710855115534032,1.5229108019691828,0.369199403210577,0.36730549674838764,0.762370044796118,-1.993707054809752
available,random,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,0.5,0.5,1.0,-1.3862943611198906
available,random,1,6,1.263247852327927,1.335926201788169,1.3495348198880222,0.4274255877831139,0.4301392844086142,0.8654637049671342,-1.7001686560010862
available,random,2,6,1.1471620292348126,1.2652635302925588,1.2261583985377347,0.36890772807514693,0.3699256110184954,0.7477686135918887,-1.994584648871621
carried,random,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,0.5,0.5,1.0,-1.3862943611198906
carried,random,1,6,1.263247852327927,1.335926201788169,1.3495348198880222,0.4274255877831139,0.4301392844086142,0.8654637049671342,-1.7001686560010862
carried,random,2,6,1.1471620292348126,1.2652635302925588,1.2261583985377347,0.36890772807514693,0.3699256110184954,0.7477686135918887,-1.994584648871621
available,surrogate_unweighted,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,0.5,0.5,1.0,-1.3862943611198906
available,surrogate_unweighted,1,6,1.4148474118696335,1.3444205593581176,1.5570261920737374,0.41948774560416635,0.41407769631503305,0.852064250752815,-1.737792128579313
available,surrogate_unweighted,2,4,1.363624307233167,1.2984813597878344,1.4219161282945185,0.3562924707418995,0.3559360104746019,0.7128396931595398,-2.064750059227226
carried,surrogate_unweighted,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,0.5,0.5,1.0,-1.3862943611198906
carried,surrogate_unweighted,1,6,1.4148474118696335,1.3444205593581176,1.5570261920737374,0.41948774560416635,0.41407769631503305,0.852064250752815,-1.737792128579313
carried,surrogate_unweighted,2,6,1.1580762326809728,1.0498395347497833,1.2396433931219841,0.378205110672716,0.3631612303294453,0.7606822278426231,-1.9517571908183335
available,surrogate_weighted,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,0.5,0.5,1.0,-1.3862943611198906
available,surrogate_weighted,1,6,1.3407293536484117,1.5138651047045686,1.4686558581578792,0.4193722033339384,0.41407769631503305,0.8518653858783879,-1.7383291774326397
available,surrogate_weighted,2,6,1.1892955754137773,1.2269474891868266,1.2707450205762776,0.35779858239382273,0.3597250064968287,0.7238614188073015,-2.0557358029831065
carried,surrogate_weighted,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,0.5,0.5,1.0,-1.3862943611198906
carried,surrogate_weighted,1,6,1.3407293536484117,1.5138651047045686,1.4686558581578792,0.4193722033339384,0.41407769631503305,0.8518653858783879,-1.7383291774326397
carried,surrogate_weighted,2,6,1.1892955754137773,1.2269474891868266,1.2707450205762776,0.35779858239382273,0.3597250064968287,0.7238614188073015,-2.0557358029831065
