mode,policy,answered,n,mean_l2_error,median_l2_error,rmse,mean_d_error,median_d_error,mean_trace,mean_logdet,mean_variance_dim_1,mean_variance_dim_2,mean_variance_dim_3,mean_variance_dim_4,mean_variance_dim_5,mean_variance_dim_6,mean_variance_reduction_dim_1,mean_variance_reduction_dim_2,mean_variance_reduction_dim_3,mean_variance_reduction_dim_4,mean_variance_reduction_dim_5,mean_variance_reduction_dim_6,mean_variance_step_reduction_dim_1,mean_variance_step_reduction_dim_2,mean_variance_step_reduction_dim_3,mean_variance_step_reduction_dim_4,mean_variance_step_reduction_dim_5,mean_variance_step_reduction_dim_6
available,fixed,0,500,2.7833272196448986,2.8496257706440167,2.834894859623717,1.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
available,fixed,1,500,2.654260285601467,2.690943799863012,2.7105082493246297,0.9109996539043779,0.9227441290789531,5.573457150126715,-0.5599213025723301,0.99226826592617,0.991464378240469,0.7994000053062209,0.9946179280864735,0.8596568620900238,0.9360497104773602,0.007731734073833416,0.008535621759536286,0.20059999469377343,0.005382071913528808,0.14034313790997427,0.06395028952263924,0.007731734073833416,0.008535621759536286,0.20059999469377343,0.005382071913528808,0.14034313790997427,0.06395028952263924
available,fixed,2,448,2.5172346751734698,2.548698214318211,2.5785000608528907,0.8295024822611895,0.8282170394705799,5.146105639670911,-1.1229433513765574,0.8461097186460396,0.9177786924374731,0.7641872541856461,0.8616389845437995,0.8209598142201042,0.9354311756378507,0.15389028135396263,0.08222130756252595,0.23581274581435427,0.13836101545620208,0.1790401857798963,0.06456882436214834,0.14614292588975558,0.07366844021767711,0.03480745383590079,0.13296806946894407,0.03841349505724612,0.0004893280629209226
available,fixed,3,398,2.3818223954042788,2.3923686633365273,2.444447008895232,0.760615405618366,0.7664033572452909,4.760908530945036,-1.6436912752181674,0.5954536610087091,0.9160521791726094,0.7086688737659539,0.8257699551740747,0.7803680256667461,0.9345958361569395,0.40454633899129067,0.08394782082739065,0.2913311262340463,0.17423004482592339,0.219631974333253,0.06540416384306043,0.25104332161419496,0.001926715897563717,0.05635090244361335,0.03619732896696514,0.04124824953487794,0.001085483369790433
available,fixed,4,398,2.2528289538687276,2.2381696214606146,2.3156717137059606,0.6958773536062292,0.6935381357479659,4.363117698578332,-2.1781141563167545,0.592185150592759,0.7903381141802909,0.6950757201557519,0.6208754010019804,0.737879340271526,0.9267639723760229,0.4078148494072411,0.20966188581970915,0.3049242798442486,0.3791245989980205,0.2621206597284733,0.07323602762397574,0.0032685104159504157,0.12571406499231866,0.013593153610202545,0.20489455417209665,0.04248868539522049,0.007831863780915218
available,fixed,5,363,2.19404630340835,2.158250430578817,2.259321951726907,0.651898848289926,0.6535478129416724,4.146606476947513,-2.5701771639365787,0.5293039141606415,0.7869446301593017,0.6348662461995564,0.5663315676914613,0.7138043273206403,0.915355791415912,0.47069608583935835,0.21305536984069845,0.3651337538004433,0.4336684323085389,0.2861956726793602,0.08464420858408868,0.06229738406033132,0.0034464271850965186,0.0602994748150989,0.05452016717866076,0.024161683602168846,0.011492788148330059
available,fixed,6,363,2.1387302773671664,2.135323117392941,2.2063086188684267,0.615825044077011,0.6133159241000843,3.961162700431676,-2.9122450641437116,0.45052255699002386,0.7844099738708026,0.6197603155057209,0.5437645796343006,0.7097285430868254,0.8529767313440032,0.5494774430099758,0.21559002612919664,0.3802396844942794,0.4562354203656996,0.2902714569131755,0.14702326865599635,0.07878135717061864,0.002534656288498315,0.015105930693836169,0.022566988057160925,0.004075784233815019,0.062379060071907626
available,fixed,7,363,2.091648746870679,2.0789436724511554,2.160130771876823,0.5815210982369039,0.5796417780530742,3.7948867861720323,-3.256384854952525,0.44533240709182315,0.7830566011549196,0.6164963821504319,0.5174203286230924,0.6587105241288046,0.7738705430229608,0.5546675929081771,0.2169433988450804,0.3835036178495678,0.4825796713769077,0.34128947587119524,0.22612945697703946,0.005190149898199664,0.0013533727158835168,0.0032639333552881497,0.02634425101120819,0.05101801895802025,0.07910618832104319
available,fixed,8,363,1.9914945623902929,1.959153203975734,2.061026894216468,0.5368821348093334,0.5353590672798819,3.4611823996593505,-3.736689507803976,0.4292144551404086,0.763715084138469,0.6151559286946016,0.5122818434345068,0.5455947066734032,0.5952203815779609,0.5707855448595914,0.23628491586153114,0.38484407130539794,0.48771815656549306,0.4544052933265969,0.40477961842203924,0.016117951951414813,0.019341517016450673,0.001340453455830408,0.005138485188585301,0.1131158174554012,0.1786501614449994
available,fixed,9,363,1.9569054844939764,1.9123489773834397,2.027293750657803,0.5149776639292869,0.5123178659654999,3.3538837626425,-3.9872298874599723,0.418742209437961,0.712664990608152,0.6039395173490922,0.48709843834178135,0.5451532400941967,0.5862853668113174,0.5812577905620385,0.2873350093918482,0.39606048265090765,0.5129015616582185,0.4548467599058035,0.41371463318868246,0.01047224570244771,0.05105009353031726,0.01121641134550952,0.025183405092725476,0.00044146657920646264,0.008935014766643786
available,fixed,10,363,1.8958843134527175,1.859015858638053,1.9646795920099978,0.48830494645893957,0.48441856206599787,3.186812199305302,-4.306970682174006,0.38514388357679114,0.6734729952860553,0.5912939505389888,0.4857322364065681,0.49283554397769697,0.5583335895192003,0.6148561164232089,0.32652700471394414,0.408706049461011,0.514267763593432,0.5071644560223032,0.44166641048079996,0.033598325861169745,0.03919199532209594,0.012645566810103264,0.0013662019352131873,0.05231769611649987,0.027951777292116897
available,fixed,11,363,1.821488896124378,1.7694045159012886,1.8908524781346185,0.46010194825597023,0.45671411733854494,3.0034587542536655,-4.664323531579261,0.38308840106864556,0.6385239014530932,0.4733095971597552,0.4632491051904697,0.48967183913631335,0.555615910245388,0.6169115989313545,0.3614760985469074,0.5266904028402448,0.5367508948095304,0.5103281608636865,0.44438408975461224,0.0020554825081456713,0.03494909383296295,0.11798435337923402,0.022483131216098507,0.003163704841383699,0.002717679273811745
available,fixed,12,326,1.763946452231797,1.7127933856301474,1.8296723533523511,0.4422213533311132,0.4388713274554302,2.895152627118722,-4.902916948426471,0.38381732053372997,0.6044166291533218,0.45605970904288884,0.41103971462950156,0.4898219084966508,0.5499973452626287,0.6161826794662698,0.39558337084667816,0.5439402909571112,0.5889602853704984,0.5101780915033493,0.45000265473737117,0.00011854541707847969,0.03423737393429202,0.017029701181260848,0.052688723379640194,8.286645419995826e-05,0.005751308524299845
available,fixed,13,326,1.7304882542968443,1.69402075866072,1.7959685335186222,0.4232579712230155,0.4192197569748468,2.7931237634320167,-5.166193708910923,0.38170054565947326,0.5896984674731425,0.41791176035478816,0.38890033321076556,0.47815451724160796,0.536758139492239,0.6182994543405267,0.4103015325268574,0.5820882396452114,0.6110996667892348,0.5218454827583923,0.46324186050776106,0.0021167748742571997,0.014718161680179158,0.0381479486881005,0.02213938141873611,0.011667391255042861,0.013239205770389274
