mode,policy,answered,n,mean_l2_error,median_l2_error,rmse,mean_d_error,median_d_error,mean_trace,mean_logdet
available,fixed,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,2.0,2.0,4.0,1.3862943611198906
available,fixed,1,6,1.347431164232499,1.4644113529034595,1.498827552100262,1.2634199821451049,1.1861023089318818,2.804238663334639,0.4602479959120523
available,fixed,2,6,1.5260465109922563,1.2933926591481533,1.6581407646917243,0.9850784324072502,0.9420516734587231,2.2760283483103754,-0.04615774198702888
carried,fixed,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,2.0,2.0,4.0,1.3862943611198906
carried,fixed,1,6,1.347431164232499,1.4644113529034595,1.498827552100262,1.2634199821451049,1.1861023089318818,2.804238663334639,0.4602479959120523
carried,fixed,2,6,1.5260465109922563,1.2933926591481533,1.6581407646917243,0.9850784324072502,0.9420516734587231,2.2760283483103754,-0.04615774198702888
available,random,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,2.0,2.0,4.0,1.3862943611198906
available,random,1,6,1.1626145272343507,1.2263790837823039,1.2846173527039446,1.3802239912022125,1.4187307041708286,2.956350507152424,0.6401149665989002
available,random,2,6,0.9672418823594372,0.7376239311846534,1.2836056749682385,0.9752975800267146,0.9977451070970977,2.080577220727828,-0.052909866124538
carried,random,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,2.0,2.0,4.0,1.3862943611198906
carried,random,1,6,1.1626145272343507,1.2263790837823039,1.2846173527039446,1.3802239912022125,1.4187307041708286,2.956350507152424,0.6401149665989002
carried,random,2,6,0.9672418823594372,0.7376239311846534,1.2836056749682385,0.9752975800267146,0.9977451070970977,2.080577220727828,-0.052909866124538
available,surrogate_unweighted,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,2.0,2.0,4.0,1.3862943611198906
available,surrogate_unweighted,1,6,1.3560096413292682,1.277132916391031,1.5997791010677456,1.2655769440278781,1.187946960905887,2.807013816579053,0.4636276269944874
available,surrogate_unweighted,2,4,1.0591984088631778,1.004331856058485,1.1698343272933285,0.848957111132985,0.8411525050309397,1.711002922095898,-0.34338568567603023
carried,surrogate_unweighted,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,2.0,2.0,4.0,1.3862943611198906
carried,surrogate_unweighted,1,6,1.3560096413292682,1.277132916391031,1.5997791010677456,1.2655769440278781,1.187946960905887,2.807013816579053,0.4636276269944874
carried,surrogate_unweighted,2,6,0.8515738227281021,0.6228428452225951,0.9885128809461302,1.0004612772892802,0.9245288071093145,2.0928760335320735,-0.055037242664147536
available,surrogate_weighted,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,2.0,2.0,4.0,1.3862943611198906
available,surrogate_weighted,1,6,1.2974940127155334,1.4449041539063674,1.431005836210194,1.2646497501277751,1.187946960905887,2.805697293978335,0.46232162643261837
available,surrogate_weighted,2,5,0.8461856345145439,0.7492570240558862,1.0139667064514633,0.8420821340414184,0.8411525050309397,1.7109713192972744,-0.3437596263166867
carried,surrogate_weighted,0,6,1.5319300447446071,1.5813369427086759,1.615978347063648,2.0,2.0,4.0,1.3862943611198906
carried,surrogate_weighted,1,6,1.2974940127155334,1.4449041539063674,1.431005836210194,1.2646497501277751,1.187946960905887,2.805697293978335,0.46232162643261837
carried,surrogate_weighted,2,6,1.0051147807016092,1.0977688901389686,1.1817910354068375,0.9379215115087233,0.8418129547742846,1.9264948124432053,-0.1702578508595154
